date,day_of_week,day_of_week_code,is_weekend,month, season_code ,booking_total,booking_available,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,sunday,monday,tuesday,wednesday,thursday,friday,saturday
5/27/2015,Wednesday,4,0,5,2,44,46,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5/28/2015,Thursday,5,0,5,2,47,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5/29/2015,Friday,6,1,5,2,66,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5/30/2015,Saturday,7,1,5,2,90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5/31/2015,Sunday,1,0,5,2,42,48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6/1/2015,Monday,2,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6/2/2015,Tuesday,3,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6/3/2015,Wednesday,4,0,6,3,47,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6/4/2015,Thursday,5,0,6,3,55,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6/5/2015,Friday,6,1,6,3,88,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6/6/2015,Saturday,7,1,6,3,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6/7/2015,Sunday,1,0,6,3,48,42,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6/8/2015,Monday,2,0,6,3,46,44,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
6/9/2015,Tuesday,3,0,6,3,44,46,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
6/10/2015,Wednesday,4,0,6,3,47,43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6/11/2015,Thursday,5,0,6,3,71,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6/12/2015,Friday,6,1,6,3,86,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6/13/2015,Saturday,7,1,6,3,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6/14/2015,Sunday,1,0,6,3,65,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
6/15/2015,Monday,2,0,6,3,73,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
